,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,gtfs_agency_name,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name
28,StopPoint:57:411,006006002:2,11317,Centre Commercial Ulis 2 - Piscine,Barceleau,StopPoint:Node:1633194366,Mobicaps,006006002:2,11317,Centre Commercial Ulis 2,Barceleau
29,StopPoint:57:570,006006002:2,41739,Gare de Massy Palaiseau B,Bourgogne,StopPoint:Node:2023339957,Mobicaps,006006002:2,41739,Gare de Massy-Palaiseau,Bourgogne
30,StopPoint:57:370,006006003:3,11310,Gare d'Orsay Ville,Rond-Point de Mondétour,StopPoint:Node:1345578401,Mobicaps,006006003:3,11310,Gare d'Orsay Ville,Rond Point de Mondétour
32,StopPoint:57:391,006006003:3,11315,Centre Commercial Ulis 2 - Piscine,Bathes,StopPoint:Node:1633194367,Mobicaps,006006003:3,11315,Centre Commercial Ulis 2,Bathes
35,StopPoint:57:411,006006003:3,11317,Centre Commercial Ulis 2 - Piscine,Barceleau,StopPoint:Node:1633194366,Mobicaps,006006003:3,11317,Centre Commercial Ulis 2,Barceleau
37,StopPoint:57:570,006006003:3,41739,Gare d'Orsay Ville,Bourgogne,StopPoint:Node:2023339957,Mobicaps,006006003:3,41739,Gare d'Orsay Ville,Bourgogne
39,StopPoint:57:610,006006003:3,11338,Centre Commercial Ulis 2 - Piscine,Joffre,StopPoint:Node:4103485160,Mobicaps,006006003:3,11338,Centre Commercial Ulis 2,Joffre
42,StopPoint:57:630,006006003:3,11341,Gare d'Orsay Ville,République,StopPoint:Node:1617097614,Mobicaps,006006003:3,11341,Gare d'Orsay Ville,République
44,StopPoint:57:681,006006004:4,11351,Centre Commercial Ulis 2 - Piscine,IHES,StopPoint:Node:1354713528,Mobicaps,006006004:4,11351,Centre Commercial Ulis 2,IHES
46,StopPoint:57:691,006006004:4,11353,Centre Commercial Ulis 2 - Piscine,Tournemire,StopPoint:Node:1354677001,Mobicaps,006006004:4,11353,Centre Commercial Ulis 2,Tournemire
49,StopPoint:57:1350,006006005:5,11439,Gare d'Orsay Ville,Océanie 3,StopPoint:Node:4105788565,Mobicaps,006006005:5,11439,Gare d'Orsay Ville,Océanie 3
52,StopPoint:57:211,006006005:5,11288,Gare d'Orsay Ville,Atlantique 1,StopPoint:Node:5324451034,Mobicaps,006006005:5,11288,Gare d'Orsay Ville,Atlantique I
55,StopPoint:57:221,006006005:5,2839,Gare d'Orsay Ville,Atlantique 2,StopPoint:Node:5220167431,Mobicaps,006006005:5,2839,Gare d'Orsay Ville,Atlantique II
57,StopPoint:57:390,006006005:5,11314,Océanie 1,Bathes,StopPoint:Node:4104884704,Mobicaps,006006005:5,11314,Océanie 1,Bathes
60,StopPoint:57:390,006006005:5,11314,Centre Commercial Ulis 2 - Aubrac,Bathes,StopPoint:Node:4104884704,Mobicaps,006006005:5,11314,Centre Commercial Ulis 2,Bathes
62,StopPoint:57:391,006006005:5,11315,Gare d'Orsay Ville,Bathes,StopPoint:Node:1633194367,Mobicaps,006006005:5,11315,Gare d'Orsay Ville,Bathes
63,StopPoint:57:391,006006005:5,11315,Gare d'Orsay Ville,Bathes,StopPoint:Node:1633194367,Mobicaps,006006005:5,11315,Gare d'Orsay Ville,Bathes
65,StopPoint:57:410,006006005:5,11316,Océanie 1,Barceleau,StopPoint:Node:4104884703,Mobicaps,006006005:5,11316,Océanie 1,Barceleau
68,StopPoint:57:410,006006005:5,11316,Centre Commercial Ulis 2 - Aubrac,Barceleau,StopPoint:Node:4104884703,Mobicaps,006006005:5,11316,Centre Commercial Ulis 2,Barceleau
70,StopPoint:57:411,006006005:5,11317,Gare d'Orsay Ville,Barceleau,StopPoint:Node:1633194366,Mobicaps,006006005:5,11317,Gare d'Orsay Ville,Barceleau
71,StopPoint:57:411,006006005:5,11317,Gare d'Orsay Ville,Barceleau,StopPoint:Node:1633194366,Mobicaps,006006005:5,11317,Gare d'Orsay Ville,Barceleau
73,StopPoint:57:430,006006005:5,11320,Gare d'Orsay Ville,Champagne,StopPoint:Node:4104884702,Mobicaps,006006005:5,11320,Gare d'Orsay Ville,Champagne
75,StopPoint:57:430,006006005:5,11320,Gare d'Orsay Ville,Champagne,StopPoint:Node:4104884702,Mobicaps,006006005:5,11320,Gare d'Orsay Ville,Champagne
76,StopPoint:57:570,006006005:5,41739,Gare d'Orsay Ville,Bourgogne,StopPoint:Node:2023339957,Mobicaps,006006005:5,41739,Gare d'Orsay Ville,Bourgogne
77,StopPoint:57:570,006006005:5,41739,Gare d'Orsay Ville,Bourgogne,StopPoint:Node:2023339957,Mobicaps,006006005:5,41739,Gare d'Orsay Ville,Bourgogne
79,StopPoint:57:601,006006005:5,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047096,Mobicaps,006006005:5,420199,Gare d'Orsay Ville,Gare d'Orsay RER
81,StopPoint:57:601,006006005:5,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047096,Mobicaps,006006005:5,420199,Gare d'Orsay Ville,Gare d'Orsay RER
82,StopPoint:57:680,006006005:5,11350,Gare d'Orsay Ville,IHES,StopPoint:Node:3822865265,Mobicaps,006006005:5,11350,Gare d'Orsay Ville,IHES
83,StopPoint:57:680,006006005:5,11350,Gare d'Orsay Ville,IHES,StopPoint:Node:3822865265,Mobicaps,006006005:5,11350,Gare d'Orsay Ville,IHES
85,StopPoint:57:681,006006005:5,11351,Océanie 1,IHES,StopPoint:Node:1354713528,Mobicaps,006006005:5,11351,Océanie 1,IHES
88,StopPoint:57:681,006006005:5,11351,Centre Commercial Ulis 2 - Aubrac,IHES,StopPoint:Node:1354713528,Mobicaps,006006005:5,11351,Centre Commercial Ulis 2,IHES
90,StopPoint:57:690,006006005:5,11352,Gare d'Orsay Ville,Tournemire,StopPoint:Node:1345592861,Mobicaps,006006005:5,11352,Gare d'Orsay Ville,Tournemire
91,StopPoint:57:690,006006005:5,11352,Gare d'Orsay Ville,Tournemire,StopPoint:Node:1345592861,Mobicaps,006006005:5,11352,Gare d'Orsay Ville,Tournemire
93,StopPoint:57:691,006006005:5,11353,Océanie 1,Tournemire,StopPoint:Node:1354677001,Mobicaps,006006005:5,11353,Océanie 1,Tournemire
96,StopPoint:57:691,006006005:5,11353,Centre Commercial Ulis 2 - Aubrac,Tournemire,StopPoint:Node:1354677001,Mobicaps,006006005:5,11353,Centre Commercial Ulis 2,Tournemire
99,StopPoint:57:710,006006005:5,11355,Océanie 1,Grand Mesnil,StopPoint:Node:4104884701,Mobicaps,006006005:5,11355,Océanie 1,Grand Mesnil
102,StopPoint:57:710,006006005:5,11355,Centre Commercial Ulis 2 - Aubrac,Grand Mesnil,StopPoint:Node:4104884701,Mobicaps,006006005:5,11355,Centre Commercial Ulis 2,Grand Mesnil
104,StopPoint:57:711,006006005:5,11356,Gare d'Orsay Ville,Grand Mesnil,StopPoint:Node:5237079682,Mobicaps,006006005:5,11356,Gare d'Orsay Ville,Grand Mesnil
105,StopPoint:57:711,006006005:5,11356,Gare d'Orsay Ville,Grand Mesnil,StopPoint:Node:5237079682,Mobicaps,006006005:5,11356,Gare d'Orsay Ville,Grand Mesnil
106,StopPoint:57:730,006006005:5,11357,Gare d'Orsay Ville,Stade,StopPoint:Node:3822865266,Mobicaps,006006005:5,11357,Gare d'Orsay Ville,Stade
107,StopPoint:57:730,006006005:5,11357,Gare d'Orsay Ville,Stade,StopPoint:Node:3822865266,Mobicaps,006006005:5,11357,Gare d'Orsay Ville,Stade
109,StopPoint:57:731,006006005:5,11358,Océanie 1,Stade,StopPoint:Node:1633172852,Mobicaps,006006005:5,11358,Océanie 1,Stade
112,StopPoint:57:731,006006005:5,11358,Centre Commercial Ulis 2 - Aubrac,Stade,StopPoint:Node:1633172852,Mobicaps,006006005:5,11358,Centre Commercial Ulis 2,Stade
114,StopPoint:57:740,006006005:5,11359,Gare d'Orsay Ville,Cévennes,StopPoint:Node:1616128569,Mobicaps,006006005:5,11359,Gare d'Orsay Ville,Cévennes
115,StopPoint:57:740,006006005:5,11359,Gare d'Orsay Ville,Cévennes,StopPoint:Node:1616128569,Mobicaps,006006005:5,11359,Gare d'Orsay Ville,Cévennes
117,StopPoint:57:741,006006005:5,11360,Océanie 1,Cévennes,StopPoint:Node:1616128610,Mobicaps,006006005:5,11360,Océanie 1,Cévennes
120,StopPoint:57:741,006006005:5,11360,Centre Commercial Ulis 2 - Aubrac,Cévennes,StopPoint:Node:1616128610,Mobicaps,006006005:5,11360,Centre Commercial Ulis 2,Cévennes
124,StopPoint:57:750,006006005:5,11361,Océanie 1,Centre Commercial Ulis 2 - Aubrac,StopPoint:Node:1358198041,Mobicaps,006006005:5,11361,Océanie 1,CC Ulis 2 - Aubrac
132,StopPoint:57:750,006006005:5,11361,Centre Commercial Ulis 2 - Aubrac,Centre Commercial Ulis 2 - Aubrac,StopPoint:Node:1358198041,Mobicaps,006006005:5,11361,Centre Commercial Ulis 2,CC Ulis 2 - Aubrac
138,StopPoint:57:750,006006005:5,11361,Gare d'Orsay Ville,Centre Commercial Ulis 2 - Aubrac,StopPoint:Node:1358198041,Mobicaps,006006005:5,11361,Gare d'Orsay Ville,CC Ulis 2 - Aubrac
140,StopPoint:57:750,006006005:5,11361,Gare d'Orsay Ville,Centre Commercial Ulis 2 - Aubrac,StopPoint:Node:1358198041,Mobicaps,006006005:5,11361,Gare d'Orsay Ville,CC Ulis 2 - Aubrac
141,StopPoint:57:750,006006005:5,11361,Gare d'Orsay Ville,Centre Commercial Ulis 2 - Aubrac,StopPoint:Node:1358198041,Mobicaps,006006005:5,11361,Gare d'Orsay Ville,CC Ulis 2 - Aubrac
142,StopPoint:57:601,006006008:8,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047097,Mobicaps,006006008:8,420199,Orsay–Ville RER,Gare d'Orsay RER
144,StopPoint:57:601,006006008:8,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047096,Mobicaps,006006008:8,420199,Orsay-Ville RER,Gare d'Orsay RER
146,StopPoint:57:601,006006008:8,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047097,Mobicaps,006006008:8,420199,Orsay–Ville RER,Gare d'Orsay RER
148,StopPoint:57:601,006006008:8,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047096,Mobicaps,006006008:8,420199,Orsay-Ville RER,Gare d'Orsay RER
150,StopPoint:57:630,006006008:8,11341,Couturier,République,StopPoint:Node:1617097614,Mobicaps,006006008:8,11341,Couturier,République
152,StopPoint:57:940,006006008:8,11387,Couturier,Chartres,StopPoint:Node:1935234845,Mobicaps,006006008:8,11387,Couturier,Chartres
153,StopPoint:57:1000,006006010:1,11391,Gare d'Igny,Orgeval,StopPoint:Node:1617112624,Mobicaps,006006010:1,11391,Gare d’Igny RER,Orgeval
155,StopPoint:57:1010,006006010:1,11392,Gare d'Orsay Ville,Cimetière d'Orsay,StopPoint:Node:1617112613,Mobicaps,006006010:1,11392,Orsay–Ville RER,Cimetière d'Orsay
156,StopPoint:57:1012,006006010:1,21828,Gare d'Igny,Cimetière d'Orsay,StopPoint:Node:3842669990,Mobicaps,006006010:1,21828,Gare d’Igny RER,Cimetière d'Orsay
158,StopPoint:57:1020,006006010:1,11394,Gare d'Orsay Ville,Ruisseau,StopPoint:Node:1932103472,Mobicaps,006006010:1,11394,Orsay–Ville RER,Ruisseau
159,StopPoint:57:1030,006006010:1,11395,Gare d'Orsay Ville,Saint-Laurent,StopPoint:Node:1420980855,Mobicaps,006006010:1,11395,Orsay–Ville RER,Saint-Laurent
161,StopPoint:57:1881,006006010:1,21830,Gare d'Igny,Gare d'Igny,StopPoint:Node:1918601884,Mobicaps,006006010:1,21830,Gare d’Igny RER,Igny RER
162,StopPoint:57:2501,006006010:1,21841,Gare d'Igny,Gare de Lozère,StopPoint:Node:1918601874,Mobicaps,006006010:1,21841,Gare d’Igny RER,Gare de Lozère RER
164,StopPoint:57:2502,006006010:1,420163,Gare d'Orsay Ville,Gare de Lozère,StopPoint:Node:5233528415,Mobicaps,006006010:1,420163,Orsay–Ville RER,Gare de Lozère RER
165,StopPoint:57:2634,006006010:1,21843,Gare d'Igny,Gare de Palaiseau - Villebon - Général Leclerc,StopPoint:Node:1916221588,Mobicaps,006006010:1,21843,Gare d’Igny RER,Palaiseau - Villebon RER - Général Leclerc
167,StopPoint:57:2635,006006010:1,21844,Gare d'Orsay Ville,Gare de Palaiseau - Villebon - Général Leclerc,StopPoint:Node:1916221566,Mobicaps,006006010:1,21844,Orsay–Ville RER,Palaiseau-Villebon RER - Gal Leclerc
168,StopPoint:57:3320,006006010:1,21845,Gare d'Orsay Ville,Groupe Scolaire J. Macé,StopPoint:Node:1913981943,Mobicaps,006006010:1,21845,Orsay–Ville RER,Groupe Scolaire Jean Macé
169,StopPoint:57:3321,006006010:1,21846,Gare d'Igny,Groupe Scolaire J. Macé,StopPoint:Node:1913981940,Mobicaps,006006010:1,21846,Gare d’Igny RER,Groupe Scolaire Jean Macé
171,StopPoint:57:3330,006006010:1,21847,Gare d'Orsay Ville,Bois de Fourcherolles,StopPoint:Node:1913981953,Mobicaps,006006010:1,21847,Orsay–Ville RER,Bois de Foucherolles
172,StopPoint:57:3331,006006010:1,21848,Gare d'Igny,Bois de Fourcherolles,StopPoint:Node:1913981952,Mobicaps,006006010:1,21848,Gare d’Igny RER,Bois de Foucherolles
174,StopPoint:57:3340,006006010:1,21849,Gare d'Orsay Ville,Marceau - Les Chandeliers,StopPoint:Node:1913981958,Mobicaps,006006010:1,21849,Orsay–Ville RER,Marceau - Les Chandeliers
175,StopPoint:57:3341,006006010:1,21850,Gare d'Igny,Marceau - Les Chandeliers,StopPoint:Node:1913981960,Mobicaps,006006010:1,21850,Gare d’Igny RER,Marceau - Les Chandeliers
177,StopPoint:57:3350,006006010:1,21851,Gare d'Orsay Ville,Collège Charles Peguy,StopPoint:Node:1916221590,Mobicaps,006006010:1,21851,Orsay–Ville RER,Collège Charles Peguy
178,StopPoint:57:3351,006006010:1,21852,Gare d'Igny,Collège Charles Peguy,StopPoint:Node:1916221591,Mobicaps,006006010:1,21852,Gare d’Igny RER,Collège Charles Peguy
180,StopPoint:57:3360,006006010:1,21853,Gare d'Igny,Place de la Victoire,StopPoint:Node:1916221592,Mobicaps,006006010:1,21853,Gare d’Igny RER,Place de la Victoire
182,StopPoint:57:3361,006006010:1,21854,Gare d'Orsay Ville,Place de la Victoire,StopPoint:Node:1916221586,Mobicaps,006006010:1,21854,Orsay–Ville RER,Place de la Victoire
183,StopPoint:57:3400,006006010:1,21859,Gare d'Orsay Ville,Résidence de l'Yvette,StopPoint:Node:3842670001,Mobicaps,006006010:1,21859,Orsay–Ville RER,Résidence de l'Yvette
184,StopPoint:57:3410,006006010:1,21860,Gare d'Igny,Lycée Blaise Pascal,StopPoint:Node:3842669997,Mobicaps,006006010:1,21860,Gare d’Igny RER,Lycée Blaise Pascal
186,StopPoint:57:601,006006010:1,420199,Gare d'Orsay Ville,Gare d'Orsay Ville,StopPoint:Node:1718047097,Mobicaps,006006010:1,420199,Orsay–Ville RER,Gare d'Orsay RER
188,StopPoint:57:630,006006010:1,11341,Gare d'Igny,République,StopPoint:Node:1617097614,Mobicaps,006006010:1,11341,Gare d’Igny RER,République
190,StopPoint:57:8101,006006010:1,11527,Gare d'Orsay Ville,Marché du Pileu,StopPoint:Node:2311717648,Mobicaps,006006010:1,11527,Orsay–Ville RER,Marché du Pileu
191,StopPoint:57:8102,006006010:1,21863,Gare d'Igny,Marché du Pileu,StopPoint:Node:3842669998,Mobicaps,006006010:1,21863,Gare d’Igny RER,Marché du Pileu
192,StopPoint:57:8111,006006010:1,11528,Gare d'Orsay Ville,La Vieille Vigne,StopPoint:Node:3842669996,Mobicaps,006006010:1,11528,Orsay–Ville RER,La Vieille Vigne
193,StopPoint:57:8121,006006010:1,11529,Gare d'Orsay Ville,Rue du Pileu,StopPoint:Node:3842670000,Mobicaps,006006010:1,11529,Orsay–Ville RER,Rue du Pileu
194,StopPoint:57:8161,006006010:1,11534,Gare d'Orsay Ville,Gymnase,StopPoint:Node:2434896608,Mobicaps,006006010:1,11534,Orsay–Ville RER,Gymnase
195,StopPoint:57:8162,006006010:1,21865,Gare d'Igny,Gymnase,StopPoint:Node:3842669994,Mobicaps,006006010:1,21865,Gare d’Igny RER,Gymnase
196,StopPoint:57:8670,006006010:1,12660,Gare d'Igny,Bellevue - Kennedy,StopPoint:Node:1925317494,Mobicaps,006006010:1,12660,Gare d’Igny RER,Kennedy–Bellevue
197,StopPoint:57:8671,006006010:1,12661,Gare d'Orsay Ville,Bellevue - Kennedy,StopPoint:Node:1925317491,Mobicaps,006006010:1,12661,Orsay–Ville RER,Kennedy–Bellevue
198,StopPoint:57:9010,006006010:1,11600,Gare d'Orsay Ville,Clos du Pileu,StopPoint:Node:3842669991,Mobicaps,006006010:1,11600,Orsay–Ville RER,Clos du Pileu
199,StopPoint:57:9011,006006010:1,11601,Gare d'Igny,Clos du Pileu,StopPoint:Node:3842669992,Mobicaps,006006010:1,11601,Gare d’Igny RER,Clos du Pileu
200,StopPoint:57:9020,006006010:1,11602,Gare d'Orsay Ville,Estienne d'Orves,StopPoint:Node:1936721966,Mobicaps,006006010:1,11602,Orsay–Ville RER,Estienne d'Orves
201,StopPoint:57:9021,006006010:1,11603,Gare d'Igny,Estienne d'Orves,StopPoint:Node:1936721968,Mobicaps,006006010:1,11603,Gare d’Igny RER,Estienne d'Orves
202,StopPoint:57:9080,006006010:1,11611,Gare d'Orsay Ville,Parc D'Ardenay,StopPoint:Node:1544070590,Mobicaps,006006010:1,11611,Orsay–Ville RER,Parc d'Ardenay
203,StopPoint:57:9081,006006010:1,11612,Gare d'Igny,Parc d'Ardenay,StopPoint:Node:1936721987,Mobicaps,006006010:1,11612,Gare d’Igny RER,Parc d'Ardenay
205,StopPoint:57:9120,006006010:1,11614,Gare d'Orsay Ville,Les Larris - Maurice Berteaux,StopPoint:Node:1936721984,Mobicaps,006006010:1,11614,Orsay–Ville RER,Les Larris
206,StopPoint:57:9121,006006010:1,11615,Gare d'Igny,Les Larris - Maurice Berteaux,StopPoint:Node:1544070626,Mobicaps,006006010:1,11615,Gare d’Igny RER,Les Larris
208,StopPoint:57:9160,006006010:1,11618,Gare d'Orsay Ville,Quartier de la Mesure,StopPoint:Node:1544070676,Mobicaps,006006010:1,11618,Orsay–Ville RER,Quartier de la Mesure
209,StopPoint:57:9161,006006010:1,11619,Gare d'Igny,Quartier de la Mesure,StopPoint:Node:1544070677,Mobicaps,006006010:1,11619,Gare d’Igny RER,Quartier de la Mesure
211,StopPoint:57:9170,006006010:1,11620,Gare d'Orsay Ville,Palaiseau RER - Avenue des Alliés,StopPoint:Node:1544070655,Mobicaps,006006010:1,11620,Orsay–Ville RER,Palaiseau RER Av. des Alliés
212,StopPoint:57:9171,006006010:1,11621,Gare d'Igny,Palaiseau RER - Avenue des Alliés,StopPoint:Node:1936721985,Mobicaps,006006010:1,11621,Gare d’Igny RER,Palaiseau RER Av. des Alliés
214,StopPoint:57:9210,006006010:1,11622,Gare d'Igny,Parc Chabrol,StopPoint:Node:1916221594,Mobicaps,006006010:1,11622,Gare d’Igny RER,Parc Chabrol
216,StopPoint:57:9220,006006010:1,11623,Gare d'Igny,Mairie de Palaiseau,StopPoint:Node:1916221579,Mobicaps,006006010:1,11623,Gare d’Igny RER,Mairie de Palaiseau
218,StopPoint:57:9221,006006010:1,21874,Gare d'Orsay Ville,Mairie de Palaiseau,StopPoint:Node:1916221584,Mobicaps,006006010:1,21874,Orsay–Ville RER,Mairie de Palaiseau
219,StopPoint:57:9230,006006010:1,11624,Gare d'Igny,Palaiseau RER - Edouard Branly,StopPoint:Node:1925258114,Mobicaps,006006010:1,11624,Gare d’Igny RER,Palaiseau RER - Édouard Branly
221,StopPoint:57:9231,006006010:1,21875,Gare d'Orsay Ville,Palaiseau RER - Edouard Branly,StopPoint:Node:1925258118,Mobicaps,006006010:1,21875,Orsay–Ville RER,Palaiseau RER - Édouard Branly
222,StopPoint:57:9340,006006010:1,21876,Gare d'Orsay Ville,Fourcherolles,StopPoint:Node:1913981931,Mobicaps,006006010:1,21876,Orsay–Ville RER,Foucherolles
223,StopPoint:57:9341,006006010:1,21877,Gare d'Igny,Fourcherolles,StopPoint:Node:1913981935,Mobicaps,006006010:1,21877,Gare d’Igny RER,Foucherolles
225,StopPoint:57:940,006006010:1,11387,Gare d'Igny,Chartres,StopPoint:Node:1935234845,Mobicaps,006006010:1,11387,Gare d’Igny RER,Chartres
227,StopPoint:57:960,006006010:1,11388,Gare d'Igny,Conservatoire d'Orsay,StopPoint:Node:3842669993,Mobicaps,006006010:1,11388,Gare d’Igny RER,Conservatoire
229,StopPoint:57:980,006006010:1,11389,Gare d'Igny,Bois de la Grille Noire,StopPoint:Node:1932103471,Mobicaps,006006010:1,11389,Gare d’Igny RER,Bois de la Grille Noire
231,StopPoint:57:990,006006010:1,11390,Gare d'Igny,Parrat,StopPoint:Node:1617112615,Mobicaps,006006010:1,11390,Gare d’Igny RER,Parrat
235,StopPoint:57:2023,006006014:14,21836,Gare de Massy Palaiseau,Polytechnique Lozère,StopPoint:Node:1703380043,Mobicaps,006006014:14,21836,Gare de Massy-Palaiseau RER,Polytechnique Lozère
237,StopPoint:57:2033,006006014:14,2860,Gare de Massy Palaiseau,Polytechnique - Laboratoire,StopPoint:Node:972212303,Mobicaps,006006014:14,2860,Gare de Massy-Palaiseau RER,Polytechnique Laboratoire
238,StopPoint:57:2634,006006014:14,21843,Gare de Massy Palaiseau,Gare de Palaiseau - Villebon - Général Leclerc,StopPoint:Node:1916221588,Mobicaps,006006014:14,21843,Gare de Massy-Palaiseau RER,Palaiseau - Villebon RER - Général Leclerc
239,StopPoint:57:3360,006006014:14,21853,Gare de Massy Palaiseau,Place de la Victoire,StopPoint:Node:1916221592,Mobicaps,006006014:14,21853,Gare de Massy-Palaiseau RER,Place de la Victoire
242,StopPoint:57:9030,006006014:14,11604,Gare de Massy Palaiseau,Rond-Point Camille Claudel,StopPoint:Node:1936721988,Mobicaps,006006014:14,11604,Gare de Massy-Palaiseau RER,Rond-Point Camille Claudel
245,StopPoint:57:9071,006006014:14,21869,Gare de Massy Palaiseau,La Hunière - Concorde,StopPoint:Node:1933966447,Mobicaps,006006014:14,21869,Gare de Massy-Palaiseau RER,La Hunière Concorde
248,StopPoint:57:9080,006006014:14,11611,Gare de Massy Palaiseau,Parc D'Ardenay,StopPoint:Node:1544070590,Mobicaps,006006014:14,11611,Gare de Massy-Palaiseau RER,Parc d'Ardenay
250,StopPoint:57:9210,006006014:14,11622,Gare de Massy Palaiseau,Parc Chabrol,StopPoint:Node:1916221594,Mobicaps,006006014:14,11622,Gare de Massy-Palaiseau RER,Parc Chabrol
251,StopPoint:57:9220,006006014:14,11623,Gare de Massy Palaiseau,Mairie de Palaiseau,StopPoint:Node:1916221579,Mobicaps,006006014:14,11623,Gare de Massy-Palaiseau RER,Mairie de Palaiseau
253,StopPoint:57:9230,006006014:14,11624,Gare de Massy Palaiseau,Palaiseau RER - Edouard Branly,StopPoint:Node:1925258114,Mobicaps,006006014:14,11624,Gare de Massy-Palaiseau RER,Palaiseau RER - Édouard Branly
255,StopPoint:57:1881,006006016:16,21830,Gare d'Igny,Gare d'Igny,StopPoint:Node:1918601884,Mobicaps,006006016:16,21830,Gare d'Igny,Igny RER
256,StopPoint:57:8670,006006016:16,12660,Gare d'Igny,Bellevue - Kennedy,StopPoint:Node:1925317494,Mobicaps,006006016:16,12660,Gare d'Igny,Kennedy–Bellevue
258,StopPoint:57:2500,006006019:19,11478,Gare de Palaiseau Villebon,Gare de Lozère,StopPoint:Node:1617136429,Mobicaps,006006019:19,11478,Gare de Palaiseau-Villebon,Gare de Lozère RER
261,StopPoint:57:2500,006006019:19,11478,Gare de Lozère,Gare de Lozère,StopPoint:Node:1617136429,Mobicaps,006006019:19,11478,Gare de Lozère,Gare de Lozère RER
262,StopPoint:57:370,006006023:21,11310,Centre Commercial Ulis 2 - Piscine,Rond-Point de Mondétour,StopPoint:Node:1345578401,Mobicaps,006006023:21,11310,Centre Commercial Ulis 2,Rond Point de Mondétour
263,StopPoint:57:391,006006023:21,11315,Centre Commercial Ulis 2 - Piscine,Bathes,StopPoint:Node:1633194367,Mobicaps,006006023:21,11315,Centre Commercial Ulis 2,Bathes
