,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,gtfs_agency_name,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name
33,StopPoint:4:48,002002009:9,2660,Centre Commercial Pont de Vitry,Général Leclerc,StopPoint:Node:473831582,Keolis Seine Val-De-Marne,002002009:9,2660,Centre Commercial - Pont de Vitry,Général Leclerc
34,StopPoint:4:49,002002009:9,2659,Centre Commercial Pont de Vitry,Choisy-le-roi Gare RER,StopPoint:Node:5443966635,Keolis Seine Val-De-Marne,002002009:9,2659,Centre Commercial - Pont de Vitry,Choisy-le-Roi Gare RER
35,StopPoint:4:51,002002009:9,30152,E. Levasseur,Choisy-le-roi Gare RER,StopPoint:Node:5443966648,Keolis Seine Val-De-Marne,002002009:9,30152,Levasseur (Thiais),Choisy-le-Roi RER
36,StopPoint:4:52,002002009:9,2677,Centre Commercial Pont de Vitry,Rouget de l'Isle,StopPoint:Node:5443966653,Keolis Seine Val-De-Marne,002002009:9,2677,Centre Commercial - Pont de Vitry,Rouget de l'Isle
37,StopPoint:4:53,002002009:9,23346,E. Levasseur,Docteur Roux,StopPoint:Node:5443966651,Keolis Seine Val-De-Marne,002002009:9,23346,Levasseur (Thiais),Docteur Roux
38,StopPoint:4:54,002002009:9,23348,Centre Commercial Pont de Vitry,Docteur Roux,StopPoint:Node:5443966656,Keolis Seine Val-De-Marne,002002009:9,23348,Centre Commercial - Pont de Vitry,Docteur Roux
39,StopPoint:4:74,002002009:9,2684,E. Levasseur,Cité des Vergers,StopPoint:Node:5443966642,Keolis Seine Val-De-Marne,002002009:9,2684,Levasseur (Thiais),Cité des Vergers
40,StopPoint:4:75,002002009:9,2685,Centre Commercial Pont de Vitry,Cité des Vergers,StopPoint:Node:383589191,Keolis Seine Val-De-Marne,002002009:9,2685,Centre Commercial - Pont de Vitry,Cité des Vergers
42,StopPoint:4:76,002002009:9,2686,E. Levasseur,E. Levasseur,StopPoint:Node:4321011888,Keolis Seine Val-De-Marne,002002009:9,2686,Levasseur (Thiais),Émile Levassor
43,StopPoint:4:76,002002009:9,2686,Centre Commercial Pont de Vitry,E. Levasseur,StopPoint:Node:4321011888,Keolis Seine Val-De-Marne,002002009:9,2686,Centre Commercial - Pont de Vitry,Émile Levassor
45,StopPoint:4:77,002002009:9,2661,E. Levasseur,Guy Moquet,StopPoint:Node:383589196,Keolis Seine Val-De-Marne,002002009:9,2661,Levasseur (Thiais),Guy Môquet
46,StopPoint:4:78,002002009:9,2705,Centre Commercial Pont de Vitry,Guy Moquet,StopPoint:Node:5443966655,Keolis Seine Val-De-Marne,002002009:9,2705,Centre Commercial - Pont de Vitry,Guy Môquet
47,StopPoint:4:79,002002009:9,2687,Centre Commercial Pont de Vitry,Institut Grignon,StopPoint:Node:5443966658,Keolis Seine Val-De-Marne,002002009:9,2687,Centre Commercial - Pont de Vitry,Institut Grignon
48,StopPoint:4:82,002002009:9,413701,E. Levasseur,Marmontel,StopPoint:Node:5443966657,Keolis Seine Val-De-Marne,002002009:9,413701,Levasseur (Thiais),Marmontel
49,StopPoint:4:83,002002009:9,413699,Centre Commercial Pont de Vitry,Marmontel,StopPoint:Node:5443966659,Keolis Seine Val-De-Marne,002002009:9,413699,Centre Commercial - Pont de Vitry,Marmontel
50,StopPoint:4:84,002002009:9,21656,E. Levasseur,Pavé Grignon,StopPoint:Node:392722837,Keolis Seine Val-De-Marne,002002009:9,21656,Levasseur (Thiais),Pavé Grignon
51,StopPoint:4:85,002002009:9,2688,Centre Commercial Pont de Vitry,Pavé Grignon,StopPoint:Node:392722838,Keolis Seine Val-De-Marne,002002009:9,2688,Centre Commercial - Pont de Vitry,Pavé Grignon
53,StopPoint:4:91,002002009:9,415248,E. Levasseur,Centre Commercial Pont de Vitry,StopPoint:Node:5443966644,Keolis Seine Val-De-Marne,002002009:9,415248,Levasseur (Thiais),Centre Commercial Pont de Vitry
54,StopPoint:4:91,002002009:9,415248,Centre Commercial Pont de Vitry,Centre Commercial Pont de Vitry,StopPoint:Node:5443966644,Keolis Seine Val-De-Marne,002002009:9,415248,Centre Commercial - Pont de Vitry,Centre Commercial Pont de Vitry
56,StopPoint:4:92,002002009:9,415227,E. Levasseur,Rue des Fusillés,StopPoint:Node:5443966633,Keolis Seine Val-De-Marne,002002009:9,415227,Levasseur (Thiais),Rue des Fusillés
57,StopPoint:4:93,002002009:9,415230,Centre Commercial Pont de Vitry,Rue des Fusillés,StopPoint:Node:5443966637,Keolis Seine Val-De-Marne,002002009:9,415230,Centre Commercial - Pont de Vitry,Rue des Fusillés
58,StopPoint:4:94,002002009:9,37277,E. Levasseur,Charles Heller,StopPoint:Node:5443966636,Keolis Seine Val-De-Marne,002002009:9,37277,Levasseur (Thiais),Charles Heller
59,StopPoint:4:95,002002009:9,37278,Centre Commercial Pont de Vitry,Charles Heller,StopPoint:Node:5443966640,Keolis Seine Val-De-Marne,002002009:9,37278,Centre Commercial - Pont de Vitry,Charles Heller
60,StopPoint:4:96,002002009:9,415242,E. Levasseur,Eugène Hénaff,StopPoint:Node:5443966654,Keolis Seine Val-De-Marne,002002009:9,415242,Levasseur (Thiais),Eugène Hénaff
61,StopPoint:4:97,002002009:9,415245,Centre Commercial Pont de Vitry,Eugène Hénaff,StopPoint:Node:5443966632,Keolis Seine Val-De-Marne,002002009:9,415245,Centre Commercial - Pont de Vitry,Eugène Hénaff
62,StopPoint:4:98,002002009:9,415241,E. Levasseur,Jules Guesde,StopPoint:Node:5443966645,Keolis Seine Val-De-Marne,002002009:9,415241,Levasseur (Thiais),Jules Guesde
63,StopPoint:4:99,002002009:9,415238,Centre Commercial Pont de Vitry,Jules Guesde,StopPoint:Node:5443966649,Keolis Seine Val-De-Marne,002002009:9,415238,Centre Commercial - Pont de Vitry,Jules Guesde
64,StopPoint:48:5250,003003018:18,16341,Gare de Torcy,Gare de Torcy,StopPoint:Node:2401892010,Stigo,003003018:18,16341,Gare de Tournan,Torcy RER
195,StopPoint:48:5030,003351504:A,16209,Centre Commercial,Gare d'Ozoir,StopPoint:Node:5392632070,Sit'bus,003351504:A,16209,Centre Commercial (Pontault-Combault),Gare d'Ozoir-la-Ferrière
198,StopPoint:48:5030,003351504:A,16209,Gare d'Ozoir,Gare d'Ozoir,StopPoint:Node:5392632070,Sit'bus,003351504:A,16209,Gare d'Ozoir-la-Ferrière,Gare d'Ozoir-la-Ferrière
199,StopPoint:48:5031,003351504:A,16210,Centre Commercial,Jondelles,StopPoint:Node:3210082762,Sit'bus,003351504:A,16210,Centre Commercial (Pontault-Combault),Jondelles
203,StopPoint:48:5032,003351504:A,16211,Gare d'Ozoir,Jondelles,StopPoint:Node:5392631651,Sit'bus,003351504:A,16211,Gare d'Ozoir-la-Ferrière,Jondelles
205,StopPoint:48:5070,003351504:A,16232,Gare d'Ozoir,Campus Ste Thérèse,StopPoint:Node:5392631717,Sit'bus,003351504:A,16232,Gare d'Ozoir-la-Ferrière,Campus Sainte-Thérèse
206,StopPoint:48:5075,003351504:A,16236,Centre Commercial,Foch,StopPoint:Node:5392632045,Sit'bus,003351504:A,16236,Centre Commercial (Pontault-Combault),Foch
210,StopPoint:48:5076,003351504:A,16237,Gare d'Ozoir,Foch,StopPoint:Node:5392631658,Sit'bus,003351504:A,16237,Gare d'Ozoir-la-Ferrière,Foch
213,StopPoint:48:5145,003351504:A,20005,Gare d'Ozoir,Louis Blanc,StopPoint:Node:5392631660,Sit'bus,003351504:A,20005,Gare d'Ozoir-la-Ferrière,Louis Blanc
214,StopPoint:48:5146,003351504:A,20006,Centre Commercial,Louis Blanc,StopPoint:Node:5392630988,Sit'bus,003351504:A,20006,Centre Commercial (Pontault-Combault),Louis Blanc
216,StopPoint:48:5175,003351504:A,20007,Gare d'Ozoir,Denis Papin,StopPoint:Node:5392630992,Sit'bus,003351504:A,20007,Gare d'Ozoir-la-Ferrière,Denis Papin
217,StopPoint:48:5176,003351504:A,20008,Centre Commercial,Denis Papin,StopPoint:Node:5392631711,Sit'bus,003351504:A,20008,Centre Commercial (Pontault-Combault),Denis Papin
220,StopPoint:48:5177,003351504:A,20009,Gare d'Ozoir,Gare de Pontault (Place Beilstein),StopPoint:Node:3068499589,Sit'bus,003351504:A,20009,Gare d'Ozoir-la-Ferrière,Pontault-Combault RER (Place Beilstein)
221,StopPoint:48:5200,003351504:A,16310,Centre Commercial,Lycée Charles le Chauve,StopPoint:Node:5392632097,Sit'bus,003351504:A,16310,Centre Commercial (Pontault-Combault),Lycée Charles le Chauve
233,StopPoint:48:5300,003351504:A,16370,Centre Commercial,Gare de Roissy,StopPoint:Node:5392632090,Sit'bus,003351504:A,16370,Centre Commercial (Pontault-Combault),Roissy RER
238,StopPoint:48:5300,003351504:A,16370,Gare d'Ozoir,Gare de Roissy,StopPoint:Node:5392632090,Sit'bus,003351504:A,16370,Gare d'Ozoir-la-Ferrière,Roissy RER
240,StopPoint:48:5310,003351504:A,16377,Gare d'Ozoir,Eglise de Pontault,StopPoint:Node:5392632067,Sit'bus,003351504:A,16377,Gare d'Ozoir-la-Ferrière,Église
241,StopPoint:48:5320,003351504:A,20011,Centre Commercial,Les Forestières,StopPoint:Node:5913637607,Sit'bus,003351504:A,20011,Centre Commercial (Pontault-Combault),Les Forestières
242,StopPoint:48:5337,003351504:A,16389,Centre Commercial,Anouilh,StopPoint:Node:5392632023,Sit'bus,003351504:A,16389,Centre Commercial (Pontault-Combault),Anouilh
243,StopPoint:48:5338,003351504:A,16390,Gare d'Ozoir,Anouilh,StopPoint:Node:1375042539,Sit'bus,003351504:A,16390,Gare d'Ozoir-la-Ferrière,Anouilh
244,StopPoint:48:5345,003351504:A,16395,Centre Commercial,Beaudelet,StopPoint:Node:5392631005,Sit'bus,003351504:A,16395,Centre Commercial (Pontault-Combault),Beaudelet
245,StopPoint:48:5346,003351504:A,16396,Gare d'Ozoir,Beaudelet,StopPoint:Node:5392632031,Sit'bus,003351504:A,16396,Gare d'Ozoir-la-Ferrière,Beaudelet
246,StopPoint:48:5353,003351504:A,16401,Centre Commercial,Aristide Briand,StopPoint:Node:5392632076,Sit'bus,003351504:A,16401,Centre Commercial (Pontault-Combault),Aristide Briand
249,StopPoint:48:5354,003351504:A,16402,Gare d'Ozoir,Aristide Briand,StopPoint:Node:5392631685,Sit'bus,003351504:A,16402,Gare d'Ozoir-la-Ferrière,Aristide Briand
251,StopPoint:48:5385,003351504:A,16421,Centre Commercial,Gruet,StopPoint:Node:5392632028,Sit'bus,003351504:A,16421,Centre Commercial (Pontault-Combault),Gruet
255,StopPoint:48:5386,003351504:A,16422,Gare d'Ozoir,Gruet,StopPoint:Node:5392631645,Sit'bus,003351504:A,16422,Gare d'Ozoir-la-Ferrière,Gruet
257,StopPoint:48:5387,003351504:A,16423,Centre Commercial,Anne Frank,StopPoint:Node:5392631019,Sit'bus,003351504:A,16423,Centre Commercial (Pontault-Combault),Anne Frank
261,StopPoint:48:5388,003351504:A,16424,Gare d'Ozoir,Anne Frank,StopPoint:Node:5392632050,Sit'bus,003351504:A,16424,Gare d'Ozoir-la-Ferrière,Anne Frank
263,StopPoint:48:5391,003351504:A,16425,Centre Commercial,Ferme Pereire,StopPoint:Node:5392631695,Sit'bus,003351504:A,16425,Centre Commercial (Pontault-Combault),Ferme Pereire
264,StopPoint:48:5392,003351504:A,16426,Gare d'Ozoir,Ferme Pereire,StopPoint:Node:5392631014,Sit'bus,003351504:A,16426,Gare d'Ozoir-la-Ferrière,Ferme Pereire
265,StopPoint:48:5395,003351504:A,16429,Centre Commercial,Kessel,StopPoint:Node:5392630991,Sit'bus,003351504:A,16429,Centre Commercial (Pontault-Combault),Kessel
266,StopPoint:48:5396,003351504:A,16430,Gare d'Ozoir,Kessel,StopPoint:Node:1375042530,Sit'bus,003351504:A,16430,Gare d'Ozoir-la-Ferrière,Kessel
267,StopPoint:48:5405,003351504:A,16436,Centre Commercial,Leclerc,StopPoint:Node:3982917857,Sit'bus,003351504:A,16436,Centre Commercial (Pontault-Combault),Leclerc
269,StopPoint:48:5406,003351504:A,16437,Gare d'Ozoir,Leclerc,StopPoint:Node:5392631638,Sit'bus,003351504:A,16437,Gare d'Ozoir-la-Ferrière,Leclerc
273,StopPoint:48:5417,003351504:A,16441,Gare d'Ozoir,Mairie d'Ozoir,StopPoint:Node:5392632034,Sit'bus,003351504:A,16441,Gare d'Ozoir-la-Ferrière,Mairie d'Ozoir
274,StopPoint:48:5418,003351504:A,16442,Centre Commercial,Mairie d'Ozoir,StopPoint:Node:5392631649,Sit'bus,003351504:A,16442,Centre Commercial (Pontault-Combault),Mairie d'Ozoir
276,StopPoint:48:5423,003351504:A,16445,Centre Commercial,Margotins,StopPoint:Node:5392631013,Sit'bus,003351504:A,16445,Centre Commercial (Pontault-Combault),Margotins
280,StopPoint:48:5424,003351504:A,16446,Gare d'Ozoir,Margotins,StopPoint:Node:5392632043,Sit'bus,003351504:A,16446,Gare d'Ozoir-la-Ferrière,Margotins
282,StopPoint:48:5435,003351504:A,16449,Centre Commercial,Pyramide,StopPoint:Node:5392631634,Sit'bus,003351504:A,16449,Centre Commercial (Pontault-Combault),Pyramide
284,StopPoint:48:5481,003351504:A,16481,Gare d'Ozoir,Lycee Camille Claudel,StopPoint:Node:5392631624,Sit'bus,003351504:A,16481,Gare d'Ozoir-la-Ferrière,Lycée Claudel
285,StopPoint:48:5482,003351504:A,16482,Centre Commercial,Lycee Camille Claudel,StopPoint:Node:5392632025,Sit'bus,003351504:A,16482,Centre Commercial (Pontault-Combault),Lycée Claudel
287,StopPoint:48:5487,003351504:A,20015,Gare d'Ozoir,Salle des Fêtes Jacques Brel,StopPoint:Node:5392630989,Sit'bus,003351504:A,20015,Gare d'Ozoir-la-Ferrière,Salle des Fêtes Jacques Brel
288,StopPoint:48:5488,003351504:A,20016,Centre Commercial,Salle des Fêtes Jacques Brel,StopPoint:Node:5392631708,Sit'bus,003351504:A,20016,Centre Commercial (Pontault-Combault),Salle des Fêtes Jacques Brel
289,StopPoint:48:5535,003351504:A,16505,Centre Commercial,Manoir,StopPoint:Node:5392632085,Sit'bus,003351504:A,16505,Centre Commercial (Pontault-Combault),Manoir
293,StopPoint:48:5536,003351504:A,16506,Gare d'Ozoir,Manoir,StopPoint:Node:5392631693,Sit'bus,003351504:A,16506,Gare d'Ozoir-la-Ferrière,Manoir
295,StopPoint:48:5657,003351504:A,16574,Centre Commercial,Renardière,StopPoint:Node:5392632065,Sit'bus,003351504:A,16574,Centre Commercial (Pontault-Combault),Renardière
299,StopPoint:48:5658,003351504:A,16575,Gare d'Ozoir,Renardière,StopPoint:Node:5392631675,Sit'bus,003351504:A,16575,Gare d'Ozoir-la-Ferrière,Renardière
301,StopPoint:48:5667,003351504:A,16579,Centre Commercial,Petit Pont,StopPoint:Node:5392564468,Sit'bus,003351504:A,16579,Centre Commercial (Pontault-Combault),Petit Pont
305,StopPoint:48:5668,003351504:A,16580,Gare d'Ozoir,Petit Pont,StopPoint:Node:5392632093,Sit'bus,003351504:A,16580,Gare d'Ozoir-la-Ferrière,Petit Pont
308,StopPoint:48:5697,003351504:A,20022,Gare d'Ozoir,Grande Haie,StopPoint:Node:5392632052,Sit'bus,003351504:A,20022,Gare d'Ozoir-la-Ferrière,Grande Haie
309,StopPoint:48:5698,003351504:A,20023,Centre Commercial,Grande Haie,StopPoint:Node:5392631703,Sit'bus,003351504:A,20023,Centre Commercial (Pontault-Combault),Grande Haie
311,StopPoint:48:5721,003351504:A,36347,Gare d'Ozoir,Masséna,StopPoint:Node:5392631656,Sit'bus,003351504:A,36347,Gare d'Ozoir-la-Ferrière,Masséna
312,StopPoint:48:5722,003351504:A,36361,Centre Commercial,Masséna,StopPoint:Node:5392630985,Sit'bus,003351504:A,36361,Centre Commercial (Pontault-Combault),Masséna
313,StopPoint:48:5735,003351504:A,21520,Gare d'Ozoir,Danton Stade,StopPoint:Node:5392632056,Sit'bus,003351504:A,21520,Gare d'Ozoir-la-Ferrière,Danton - Stade
314,StopPoint:48:5736,003351504:A,21521,Centre Commercial,Danton Stade,StopPoint:Node:5392631667,Sit'bus,003351504:A,21521,Centre Commercial (Pontault-Combault),Danton - Stade
315,StopPoint:48:5737,003351504:A,426349,Centre Commercial,Belle Croix,StopPoint:Node:5392631648,Sit'bus,003351504:A,426349,Centre Commercial (Pontault-Combault),Belle Croix
318,StopPoint:48:5738,003351504:A,426350,Gare d'Ozoir,Belle Croix,StopPoint:Node:5392632082,Sit'bus,003351504:A,426350,Gare d'Ozoir-la-Ferrière,Belle Croix
319,StopPoint:48:5741,003351504:A,426346,Centre Commercial,Haras Campus St Thèrèse,StopPoint:Node:5392632079,Sit'bus,003351504:A,426346,Centre Commercial (Pontault-Combault),Haras Campus Saint-Thèrèse
320,StopPoint:48:5973,003351504:A,16609,Centre Commercial,Village de Flore,StopPoint:Node:5392631628,Sit'bus,003351504:A,16609,Centre Commercial (Pontault-Combault),Village de Flore
324,StopPoint:48:5974,003351504:A,16610,Gare d'Ozoir,Village de Flore,StopPoint:Node:5392632058,Sit'bus,003351504:A,16610,Gare d'Ozoir-la-Ferrière,Village de Flore
326,StopPoint:48:5988,003351504:A,419166,Centre Commercial,Rue du Four,StopPoint:Node:5392631632,Sit'bus,003351504:A,419166,Centre Commercial (Pontault-Combault),Rue du Four
328,StopPoint:48:5995,003351504:A,16625,Gare d'Ozoir,Pré Saint Martin,StopPoint:Node:5392632042,Sit'bus,003351504:A,16625,Gare d'Ozoir-la-Ferrière,Pré Saint-Martin
329,StopPoint:48:5996,003351504:A,16626,Centre Commercial,Pré Saint Martin,StopPoint:Node:5392632037,Sit'bus,003351504:A,16626,Centre Commercial (Pontault-Combault),Pré Saint-Martin
331,StopPoint:48:5997,003351504:A,16627,Gare d'Ozoir,Jean Monnet,StopPoint:Node:5392631688,Sit'bus,003351504:A,16627,Gare d'Ozoir-la-Ferrière,Jean Monnet
332,StopPoint:48:5998,003351504:A,16628,Centre Commercial,Jean Monnet,StopPoint:Node:5392631689,Sit'bus,003351504:A,16628,Centre Commercial (Pontault-Combault),Jean Monnet
335,StopPoint:48:6083,003351504:A,36357,Gare d'Ozoir,L'Orme au Charron,StopPoint:Node:5392631633,Sit'bus,003351504:A,36357,Gare d'Ozoir-la-Ferrière,L'Orme au Charron
336,StopPoint:48:6084,003351504:A,20027,Centre Commercial,L'Orme au Charron,StopPoint:Node:5392632062,Sit'bus,003351504:A,20027,Centre Commercial (Pontault-Combault),L'Orme au Charron
338,StopPoint:48:6111,003351504:A,21540,Gare d'Ozoir,Les Forestières,StopPoint:Node:5913637605,Sit'bus,003351504:A,21540,Gare d'Ozoir-la-Ferrière,Les Forestières
340,StopPoint:48:6223,003351504:A,21544,Gare d'Ozoir,Lycée Charles le Chauve,StopPoint:Node:5913637604,Sit'bus,003351504:A,21544,Gare d'Ozoir-la-Ferrière,Lycée Charles le Chauve
342,StopPoint:48:7031,003351504:A,20028,Gare d'Ozoir,Grands Champs,StopPoint:Node:5392631623,Sit'bus,003351504:A,20028,Gare d'Ozoir-la-Ferrière,Grands Champs
343,StopPoint:48:7032,003351504:A,20029,Centre Commercial,Grands Champs,StopPoint:Node:5392631003,Sit'bus,003351504:A,20029,Centre Commercial (Pontault-Combault),Grands Champs
345,StopPoint:48:7043,003351504:A,16638,Gare d'Ozoir,Pavé,StopPoint:Node:5392632026,Sit'bus,003351504:A,16638,Gare d'Ozoir-la-Ferrière,Pavé
346,StopPoint:48:7044,003351504:A,16639,Centre Commercial,Pavé,StopPoint:Node:5392632064,Sit'bus,003351504:A,16639,Centre Commercial (Pontault-Combault),Pavé
348,StopPoint:48:7045,003351504:A,16640,Gare d'Ozoir,Centre Commercial,StopPoint:Node:5392632069,Sit'bus,003351504:A,16640,Gare d'Ozoir-la-Ferrière,Centre Commercial
349,StopPoint:48:7046,003351504:A,16641,Centre Commercial,Centre Commercial,StopPoint:Node:5392632071,Sit'bus,003351504:A,16641,Centre Commercial (Pontault-Combault),Centre Commercial
351,StopPoint:48:7087,003351504:A,36353,Gare d'Ozoir,Résidence des Tilleuls,StopPoint:Node:5392631701,Sit'bus,003351504:A,36353,Gare d'Ozoir-la-Ferrière,Résidence des Tilleuls
352,StopPoint:48:7088,003351504:A,36345,Centre Commercial,Résidence des Tilleuls,StopPoint:Node:5392631621,Sit'bus,003351504:A,36345,Centre Commercial (Pontault-Combault),Résidence des Tilleuls
354,StopPoint:48:7091,003351504:A,20041,Gare d'Ozoir,Collège Condorcet,StopPoint:Node:5392631706,Sit'bus,003351504:A,20041,Gare d'Ozoir-la-Ferrière,Collège Condorcet
355,StopPoint:48:7092,003351504:A,20042,Centre Commercial,Collège Condorcet,StopPoint:Node:5392631626,Sit'bus,003351504:A,20042,Centre Commercial (Pontault-Combault),Collège Condorcet
357,StopPoint:48:7111,003351504:A,20043,Gare d'Ozoir,La Pépinière,StopPoint:Node:5392632074,Sit'bus,003351504:A,20043,Gare d'Ozoir-la-Ferrière,La Pépinière
358,StopPoint:48:7112,003351504:A,20044,Centre Commercial,La Pépinière,StopPoint:Node:5392631712,Sit'bus,003351504:A,20044,Centre Commercial (Pontault-Combault),La Pépinière
360,StopPoint:48:7113,003351504:A,20045,Gare d'Ozoir,Berchères,StopPoint:Node:5392632051,Sit'bus,003351504:A,20045,Gare d'Ozoir-la-Ferrière,Berchères
361,StopPoint:48:7114,003351504:A,20046,Centre Commercial,Berchères,StopPoint:Node:5392632063,Sit'bus,003351504:A,20046,Centre Commercial (Pontault-Combault),Berchères
363,StopPoint:48:7115,003351504:A,20047,Gare d'Ozoir,Château Candalle,StopPoint:Node:5392631681,Sit'bus,003351504:A,20047,Gare d'Ozoir-la-Ferrière,Château Candalle
364,StopPoint:48:7116,003351504:A,20048,Centre Commercial,Château Candalle,StopPoint:Node:5392631661,Sit'bus,003351504:A,20048,Centre Commercial (Pontault-Combault),Château Candalle
366,StopPoint:48:7133,003351504:A,20057,Gare d'Ozoir,Parc Hi-Han,StopPoint:Node:5392631679,Sit'bus,003351504:A,20057,Gare d'Ozoir-la-Ferrière,Parc Hi-Han
367,StopPoint:48:7134,003351504:A,20058,Centre Commercial,Parc Hi-Han,StopPoint:Node:5392631002,Sit'bus,003351504:A,20058,Centre Commercial (Pontault-Combault),Parc Hi-Han
369,StopPoint:48:7221,003351504:A,20062,Gare d'Ozoir,Pré des Aulnes,StopPoint:Node:5913637606,Sit'bus,003351504:A,20062,Gare d'Ozoir-la-Ferrière,Pré des Aulnes
370,StopPoint:48:7222,003351504:A,20063,Centre Commercial,Pré des Aulnes,StopPoint:Node:5392631669,Sit'bus,003351504:A,20063,Centre Commercial (Pontault-Combault),Pré des Aulnes
498,StopPoint:48:5060,003351507:C,16224,Noisiel RER,Noisiel RER,StopPoint:Node:5392632033,Sit'bus,003351507:C,16224,Noisiel RER,Noisiel - Le Luzard RER
501,StopPoint:48:5060,003351507:C,16224,Centre Commercial,Noisiel RER,StopPoint:Node:5392632033,Sit'bus,003351507:C,16224,Centre Commercial,Noisiel - Le Luzard RER
504,StopPoint:48:5177,003351507:C,20009,Centre Commercial,Gare de Pontault (Place Beilstein),StopPoint:Node:3068499589,Sit'bus,003351507:C,20009,Centre Commercial,Pontault-Combault RER (Place Beilstein)
506,StopPoint:48:5178,003351507:C,20010,Noisiel RER,Gare de Pontault (Place Beilstein),StopPoint:Node:4475704259,Sit'bus,003351507:C,20010,Noisiel RER,Pontault-Combault RER (Place Beilstein)
507,StopPoint:48:5310,003351507:C,16377,Noisiel RER,Eglise de Pontault,StopPoint:Node:5392632067,Sit'bus,003351507:C,16377,Noisiel RER,Église
508,StopPoint:48:5463,003351507:C,16468,Centre Commercial,Bleuets,StopPoint:Node:5392631020,Sit'bus,003351507:C,16468,Centre Commercial,Les Bleuets
510,StopPoint:48:5464,003351507:C,16469,Noisiel RER,Bleuets,StopPoint:Node:5392631015,Sit'bus,003351507:C,16469,Noisiel RER,Les Bleuets
511,StopPoint:48:5475,003351507:C,22480,Centre Commercial,Hotel de Ville de Pontault,StopPoint:Node:5392631663,Sit'bus,003351507:C,22480,Centre Commercial,République
513,StopPoint:48:5481,003351507:C,16481,Noisiel RER,Lycee Camille Claudel,StopPoint:Node:5392631624,Sit'bus,003351507:C,16481,Noisiel RER,Lycée Claudel
514,StopPoint:48:5482,003351507:C,16482,Centre Commercial,Lycee Camille Claudel,StopPoint:Node:5392632025,Sit'bus,003351507:C,16482,Centre Commercial,Lycée Claudel
